Office_ID,SOL_ID_BO_ID,Month_Year,Name,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
,13510601,Apr-26,Bhudkalan S.O,,,,0,5,,4,,5,,1,1,
,E6740,Apr-26,Bhurewala B.O,Naraingarh S.O,,,3,34,,8,,12,,,,
,13310101,Apr-26,Bihta S.O (Ambala),,2,,5,6,,9,1,20,,,4,
,13510201,Apr-26,Bilaspur (Yamunanagar) S.O,,5,,9,64,,38,3,120,,6,12,
,J7327,Apr-26,Bilauli B.O,Chhachrauli S.O,,,3,6,,5,,6,,,,
,I5066,Apr-26,Billa B.O,Barwala S.O (Panchkula),,,2,,,,,1,,,,
,F7637,Apr-26,Binjalpur B.O,Sarawan S.O,,,1,2,,6,,6,,,,
,C4406,Apr-26,Boh B.O,Defence Colony S.O,,,2,5,,6,,5,,,,
,I4680,Apr-26,Bubka B.O,Radaur S.O,,,1,18,,1,,,,,,
,M6330,Apr-26,Budhangpur B.O,Durga Nagar S.O,,,,1,,2,,3,,,,
,13510101,Apr-26,Buriya S.O,,2,,11,38,,32,6,66,,6,8,
,13410401,Apr-26,C.R.P.F. Pinjore S.O,,1,,9,11,,11,6,15,,,,
,G9893,Apr-26,Cagnoli B.O,Bilaspur (Yamunanagar) S.O,,,,1,,2,,,,,,
,I4681,Apr-26,Chamrori B.O,Radaur S.O,,,,,,3,,7,,,,
,13410701,Apr-26,Chandi Mandir Cantt S.O,,13,2,1,9,,6,,5,,,1,
,13410702,Apr-26,Chandi Mandir S.O,,1,1,1,13,,5,,6,,,13,
,G9894,Apr-26,Chauli B.O,Bilaspur (Yamunanagar) S.O,,,7,,,,,1,,,,
,M6331,Apr-26,Chaurmastpur B.O,Durga Nagar S.O,,,4,1,,1,,2,,,,
,13510301,Apr-26,Chhachrauli S.O,,6,1,13,65,,43,14,210,,4,14,
,L4394,Apr-26,Chhappar B.O,Saraswati Nagar S.O,,,1,26,,5,,2,,,,
,I3639,Apr-26,Chiken B.O,Pinjore S.O,,,,,,1,,,,,,
,J7217,Apr-26,Chudiala B.O,Kesri S.O,,,2,3,,2,,3,,,,
,13300102,Apr-26,Commissioner Court S.O,,4,,2,12,,4,7,18,,,1,
,13400305,Apr-26,D.A.V.College S.O,,11,4,2,7,,9,5,49,,2,33,
,G5048,Apr-26,Dadupur B.O,Jagadhri S.O,,,2,6,,,,,,,,
,I3640,Apr-26,Damaloan B.O,Pinjore S.O,,,1,2,,2,,,,,,
,D2044,Apr-26,Damla B.O,Jagdhari Work Shop S.O,,,4,1,,3,,3,,,,
,M6332,Apr-26,Danipur B.O,Durga Nagar S.O,,,1,,,,,,,,,
,J7328,Apr-26,Darpur B.O,Chhachrauli S.O,,,,3,,7,,,,,,
,G9895,Apr-26,Dayalgarh B.O,Bilaspur (Yamunanagar) S.O,,,2,2,,1,,1,,,,
,13301001,Apr-26,Defence Colony S.O,,8,3,2,9,,13,2,19,,2,1,
,L7176,Apr-26,Deodhar B.O,Partap Nagar S.O,,,,2,,3,,15,,,,
,I1907,Apr-26,Derasalimpur B.O,Barara S.O,,,2,3,,1,,5,,,,
,A6320,Apr-26,Devi Nagar B.O,Panchkula Sector 8 S.O,,,,2,,,,,,,,
,M0018,Apr-26,Dhanana B.O,Jatwar S.O,,,1,,,1,,,,,,
,G7187,Apr-26,Dhanaura B.O,Mullana S.O,,,2,10,,8,,3,,,,
,F8558,Apr-26,Dhankaur B.O,Baldev Nagar S.O,,,,1,,1,,,,,,
,13320201,Apr-26,Dhin S.O,,,1,1,22,,13,1,23,,0,3,
,E1759,Apr-26,Dhulkot B.O,Baldev Nagar S.O,,,,,,1,,,,,,
,M6333,Apr-26,Dhurkara B.O,Durga Nagar S.O,,,,1,,,,,,,,
,J7218,Apr-26,Dinarpur B.O,Kesri S.O,,,1,2,,4,,1,,,,
,G7014,Apr-26,Dukheri B.O,Kuldeep Nagar S.O,,,1,2,,7,,2,,,,
,L4929,Apr-26,Duliani B.O,Dhin S.O,,,4,,,5,,10,,1,,
,E1639,Apr-26,Durana B.O,Majri S.O,,,1,,,,,8,,,,
,13400801,Apr-26,Durga Nagar S.O,,6,,6,2,,9,3,22,,,2,
,M0019,Apr-26,Fatehgarh B.O,Jatwar S.O,,,,2,,2,,11,,,,
,C4196,Apr-26,Fatehgarh Tumbi B.O,Sarawan S.O,,,1,2,,5,,2,,,,
,I3761,Apr-26,Fatehpur B.O,Buriya S.O,,,3,4,,4,,2,,,,
,L4395,Apr-26,Gadhaula B.O,Saraswati Nagar S.O,,,1,2,,2,,,,,,
,A4739,Apr-26,Gadhauli B.O,Naraingarh S.O,,,4,1,,16,,4,,,,
,J9667,Apr-26,Ganeshpur B.O,Shahzadpur S.O.,,,,,,6,,3,,,,
,L3938,Apr-26,Garhi Kotaha B.O,Raipur Rani S.O,,,4,2,,4,,6,,,,
,13400702,Apr-26,Geeta Nagri S.O,,5,,6,26,,14,1,40,,6,4,
,D3475,Apr-26,Ghail B.O,Baldev Nagar S.O,,,1,,,,,4,,,,
,I4682,Apr-26,Ghillaur B.O,Radaur S.O,,,2,20,,,,,,,,
,13300103,Apr-26,Gobind Nagar S.O,,16,,,42,,17,15,73,,6,19,
,A8327,Apr-26,Gokal Garh B.O,Mullana S.O,,,,,,1,,,,,,
,L4396,Apr-26,Gudhiana B.O,Saraswati Nagar S.O,,,,,,6,,2,,,,
,I4683,Apr-26,Gumthala Rao B.O,Radaur S.O,,,2,,,1,,,,,,
,13410101,Apr-26,H.M.T.Pinjore S.O,,26,,,10,,10,7,2,,,7,
,E8776,Apr-26,Hafizpur B.O,Jagdhari Work Shop S.O,,,2,4,,4,,4,,,,
,E9253,Apr-26,Haibatpur B.O,Sarawan S.O,,,2,2,,3,,5,,,,
,13500106,Apr-26,Hamida S.O,,,,3,34,,8,1,66,,10,20,
,D0005,Apr-26,Hamidpur B.O,Naraingarh S.O,,,2,5,,10,,2,,,,
,L3939,Apr-26,Hangola B.O,Raipur Rani S.O,,,3,1,,7,,1,,,,
,L4397,Apr-26,Hangoli B.O,Saraswati Nagar S.O,,,3,4,,1,,,,,,
,13300104,Apr-26,Hargolal S.O,,29,,7,94,,23,1,214,,22,44,
,L3940,Apr-26,Haripur B.O,Raipur Rani S.O,,,2,,,,,,,,,
,A6845,Apr-26,Harnaul B.O,Jagdhari Work Shop S.O,,,,1,,1,,,,,,
,I4684,Apr-26,Hartan B.O,Radaur S.O,,,2,24,,,,,,,,
,E9263,Apr-26,Haveli B.O,Sadhaura S.O,,,,1,,4,,27,,,,
,I1908,Apr-26,Holi B.O,Barara S.O,,,,4,,3,,2,,,,
,13410301,Apr-26,I.T.B.P.  Bhanu S.O,,,,,1,,1,,2,,,,
,13300601,Apr-26,Ind estate S.O,,2,2,4,10,,8,4,30,,,7,
,13500301,Apr-26,Jagadhri Court S.O,,5,1,,17,,8,2,12,,,19,
,13500302,Apr-26,Jagadhri S.O,,38,3,18,136,,65,15,204,,21,62,
,13500303,Apr-26,Jagadhri Town S.O,,12,,4,131,,39,7,137,,12,44,
,13500201,Apr-26,Jagdhari Work Shop S.O,,9,,9,58,,23,9,95,,6,12,
,L4398,Apr-26,Jagdholi B.O,Saraswati Nagar S.O,,,2,9,,3,,3,,,,
,I3762,Apr-26,Jaidhari B.O,Buriya S.O,,,4,5,,4,,,,,,
,M6334,Apr-26,Jalbera B.O,Durga Nagar S.O,,,,,,2,,10,,,,
,I5067,Apr-26,Jaloli B.O,Barwala S.O (Panchkula),,,1,2,,,,7,,,,
,13400501,Apr-26,Jandli S.O,,3,,8,8,,14,3,12,,,1,
,M6335,Apr-26,Jansui B.O,Durga Nagar S.O,,,,1,,3,,5,,,,
,I4685,Apr-26,Jathlana B.O,Radaur S.O,,,5,1,,4,,9,,,,
,13420101,Apr-26,Jatwar S.O,,1,6,4,13,0,11,,58,,1,,
,F5103,Apr-26,Jeoli B.O,Naraingarh S.O,,,4,7,,4,,12,,,,
,D1364,Apr-26,Jroda B.O,Jagadhri S.O,,,2,2,,2,,4,,,,
,I4686,Apr-26,Jubbal B.O,Radaur S.O,,,1,3,,1,,15,,,,
,13410801,Apr-26,Judicial Complex Panchkula S.O,,1,1,4,4,,3,,2,,,3,
,13300105,Apr-26,Kacha Bazar S.O,,22,,3,57,,14,1,120,,7,20,
,J9668,Apr-26,Kakarmajra B.O,Shahzadpur S.O.,,,,6,,3,,2,,,,
,E1760,Apr-26,Kakroo B.O,Baldev Nagar S.O,,,,1,,,,,,,,
,L7568,Apr-26,Kalanaur B.O,Thermal Colony Yamuna Nagar S.O,,,2,,,1,,2,,,,
,E1024,Apr-26,Kalarehri B.O,Defence Colony S.O,,,,5,,3,,3,,,,
,L4399,Apr-26,Kalawar B.O,Saraswati Nagar S.O,,,3,8,,3,,1,,,,
,L4336,Apr-26,Kalesar B.O,Bhudkalan S.O,,,2,6,,1,,,,,,
,13330201,Apr-26,Kalka R.S. S.O,,5,,1,17,,11,4,52,,6,9,
,13330202,Apr-26,Kalka S.O,,26,,13,73,,37,16,81,,15,25,
,L4364,Apr-26,Kalpi B.O,Saha S.O,,,1,,,4,,,,,,
,I1896,Apr-26,Kambassi B.O,Adhoya S.O,,,2,,,1,,7,,,,
,L4400,Apr-26,Kandhari Kalan B.O,Saraswati Nagar S.O,,,2,29,,3,,3,,,,
,L3941,Apr-26,Kandiwala B.O,Raipur Rani S.O,,,5,2,,2,,3,,,,
,J9669,Apr-26,Karasan B.O,Shahzadpur S.O.,,,4,,,4,,2,,,,
,I1897,Apr-26,Kaserla Kalan B.O,Adhoya S.O,,,,,,6,,,,,,
,B3219,Apr-26,Kathe Majra B.O,Naraingarh S.O,,,4,11,,6,,3,,,,
,M6336,Apr-26,Kathgarh Chhappar B.O,Durga Nagar S.O,,,2,,,,,,,,,
,L3889,Apr-26,Keshopur Samalkha B.O,Bihta S.O (Ambala),,,,1,,1,,4,,,,
,13310201,Apr-26,Kesri S.O,,1,,3,10,,11,,8,,,2,
,I3763,Apr-26,Khadri B.O,Buriya S.O,,,3,3,,3,,4,,,,
,J7219,Apr-26,Khanpur B.O,Kesri S.O,,,,1,,1,,6,,,,
,M0020,Apr-26,Khanpur Brahmana B.O,Jatwar S.O,,,4,4,,,,,,,,
,A5884,Apr-26,Kharanwali B.O,Kalka S.O,,,3,,,,,,,,,
,A6105,Apr-26,Kharwan B.O,Jagadhri S.O,,,2,5,,1,,8,,,,
,I5068,Apr-26,Khatauli B.O,Barwala S.O (Panchkula),,,,,,,,4,,,,
,B4561,Apr-26,Khera B.O,Jagadhri S.O,,,2,,,2,,,,,,
,L7569,Apr-26,Khera Khurd B.O,Thermal Colony Yamuna Nagar S.O,,,,3,,2,,,,,,
,L3942,Apr-26,Khetpurali B.O,Raipur Rani S.O,,,,,,1,,2,,,,
,L4365,Apr-26,Khudda Kalan B.O,Saha S.O,,,2,4,,4,,8,,,,
,I4687,Apr-26,Khurdban B.O,Radaur S.O,,,4,,,6,,17,,,,
,G9896,Apr-26,Kopal Mochan B.O,Bilaspur (Yamunanagar) S.O,,,,2,,3,,1,,,,
,J9670,Apr-26,Korwakhurd B.O,Shahzadpur S.O.,,,1,,,5,,3,,,,
,I5069,Apr-26,Kot B.O,Barwala S.O (Panchkula),,,1,2,,,,2,,,,
,J7329,Apr-26,Kot Kalsia B.O,Chhachrauli S.O,,,2,18,,3,,3,,,,
,13300401,Apr-26,Kuldeep Nagar S.O,,,,2,4,,5,,15,,,,
,F5104,Apr-26,Kurali B.O,Naraingarh S.O,,,2,2,,7,,8,,,,
,F5105,Apr-26,Laha B.O,Naraingarh S.O,,,2,11,,2,,1,,,,
,F7642,Apr-26,Laharpur B.O,Sadhaura S.O,,,1,1,1,6,,4,,,,
,B3220,Apr-26,Lakhnaura B.O,Naraingarh S.O,,,8,1,,9,,4,,,,
,J7330,Apr-26,Lalheri Kalan B.O,Chhachrauli S.O,,,,,,,,15,,,,
,C1670,Apr-26,Lalpur B.O,Naraingarh S.O,,,3,6,,6,,5,,,,
,J7220,Apr-26,Landa B.O,Kesri S.O,,,,1,,,,,,,,
,J7331,Apr-26,Ledi B.O,Chhachrauli S.O,,,4,2,,2,,1,,,,
,AM125,Apr-26,Lohgarh B.O,Baldev Nagar S.O,,,,,,,,1,,,,
,13320701,Apr-26,M.M.E.Complex Mulana S.O,,2,,1,3,,6,,2,,,,
,G9897,Apr-26,Machrauli B.O,Bilaspur (Yamunanagar) S.O,,,2,2,,2,,,,,,
,13300107,Apr-26,Mahesh Nagar S.O,,16,1,,24,,13,8,100,,4,22,
,13300801,Apr-26,Majri S.O,,,1,0,0,,6,,5,,,,
,L4337,Apr-26,Malikpur Khadar B.O,Bhudkalan S.O,,,1,,,3,,2,,,,
,I3641,Apr-26,Mallah B.O,Pinjore S.O,,,1,,,,,,,,,
,L3943,Apr-26,Manak  Tabra B.O,Raipur Rani S.O,,,1,1,,1,,,,,,
,L3886,Apr-26,Mandhana B.O,Morni S.O,,,1,3,,,,,,,,
,I4688,Apr-26,Mandhar B.O,Radaur S.O,,,2,,,1,,,,,,
,B4562,Apr-26,Mandhar B.O,Jagadhri S.O,,,1,8,,,,1,,,,
,G9899,Apr-26,Manglore B.O,Bilaspur (Yamunanagar) S.O,,,1,2,,3,,4,,,,
,L4930,Apr-26,Manka Manki B.O,Dhin S.O,,,1,,,,,1,,,,
,13411401,Apr-26,Mansa  Devi Sec 5 S.O,,8,1,1,1,,5,2,4,,1,2,
,I1898,Apr-26,Manu Majra B.O,Adhoya S.O,,,1,9,,1,,1,,,,
,B6563,Apr-26,Mardon Sahib B.O,Majri S.O,,,,,,,,1,,,,
,G9900,Apr-26,Marwa Kalan B.O,Bilaspur (Yamunanagar) S.O,,,3,,,2,,5,,,,
,G9901,Apr-26,Marwa Khurd B.O,Bilaspur (Yamunanagar) S.O,,,,9,,7,,6,,,,
,M6337,Apr-26,MATHERI SEIKHAN,Durga Nagar S.O,,,3,1,,9,,2,,,,
,I5070,Apr-26,Mauli B.O,Barwala S.O (Panchkula),,,4,,,1,,,,,,
,I3764,Apr-26,Mehar Majra B.O,Buriya S.O,,,3,15,,,,1,,,,
,C3070,Apr-26,Mehlanwali B.O,Jagadhri S.O,,,2,1,,1,,2,,,,
,D2499,Apr-26,Mehmoodpur B.O,Sadhaura S.O,,,2,,,2,,3,,,,
,L4366,Apr-26,Mehmoodpur B.O,Saha S.O,,,3,,,4,,10,,,,
,G9898,Apr-26,Milakpur Banger B.O,Bilaspur (Yamunanagar) S.O,,,3,,,5,,1,,,,
,13400306,Apr-26,Model Town Ambala City S.O,,9,3,4,27,,13,8,44,,2,15,
,13500103,Apr-26,Model Town S.O (Yamuna Nagar),,10,,,51,,11,4,52,,15,29,
,C5002,Apr-26,Mohra B.O,Kuldeep Nagar S.O,,,2,1,,3,,2,,,,
,13420501,Apr-26,Morni S.O,,,,2,20,,12,1,20,,,3,
,13500104,Apr-26,Mud Hut Colony S.O,,4,1,8,15,,37,5,45,,11,13,
,13320302,Apr-26,Mullana S.O,,,,4,14,,28,,149,,10,20,
,B4563,Apr-26,Mussimbal B.O,Jagadhri S.O,,,1,,,2,,4,,,,
,L7177,Apr-26,Muzafatkalan B.O,Partap Nagar S.O,,,2,,,3,,5,,,,
,I4689,Apr-26,Nachron B.O,Radaur S.O,,,1,1,,,,,,,,
,M6338,Apr-26,NAGGAL,Durga Nagar S.O,,,2,4,,2,,11,,,,
,J7221,Apr-26,Nagla Jattan B.O,Kesri S.O,,,1,1,,8,,6,,,,
,L7571,Apr-26,Nahar Pur B.O,Thermal Colony Yamuna Nagar S.O,,,1,,,,,4,,,,
,L4367,Apr-26,Nahoni B.O,Saha S.O,,,,,,7,,6,,,,
,I3642,Apr-26,Nanakpur B.O,Pinjore S.O,,,5,3,,1,,2,,,,
,M6339,Apr-26,NANEOLA,Durga Nagar S.O,,,9,4,,3,,10,,,,
,13420301,Apr-26,Naraingarh S.O,,14,2,16,173,,57,3,220,,17,39,
,M0021,Apr-26,Nasrauli B.O,Jatwar S.O,,,1,2,,2,,8,,,,
,D2500,Apr-26,Noshera B.O,Sadhaura S.O,,,,53,,4,,2,,,,
,C3071,Apr-26,Pabni Kalan B.O,Jagadhri S.O,,,,3,,1,,1,,,,
,13300108,Apr-26,Palam Vihar S.O (Ambala),,4,1,1,6,,15,4,26,,1,8,
,13411201,Apr-26,Panchkula Sector 12 S.O,,10,1,5,11,,6,5,9,,3,10,
,13411202,Apr-26,Panchkula Sector 4 S.O,,27,,3,53,1,28,7,45,,1,41,
,13410901,Apr-26,Panchkula Sector 8 S.O,,45,6,10,86,,30,20,110,,9,91,
,A4740,Apr-26,Panjlasa B.O,Naraingarh S.O,,,2,2,,2,,1,,,,
,G7114,Apr-26,Panjokhara Sahib B.O,Baldev Nagar S.O,,,1,2,1,5,,4,,,,
,L7572,Apr-26,Pansra B.O,Thermal Colony Yamuna Nagar S.O,,,2,2,,8,,,,,,
,13500304,Apr-26,Parkash Chowk S.O,,1,1,,3,,9,,15,,1,1,
,13502101,Apr-26,Partap Nagar S.O,,1,,5,14,,14,1,29,,2,1,
,J7222,Apr-26,Pasiala B.O,Kesri S.O,,,2,,,1,,2,,,,
,J9671,Apr-26,Pathreri B.O,Shahzadpur S.O.,,,1,,,,,8,,,,
,M0022,Apr-26,Patwi B.O,Jatwar S.O,,,1,3,,,,,,,,
,L4368,Apr-26,Pilkhani B.O,Saha S.O,,,3,,,4,,2,,,,
,13410201,Apr-26,Pinjore S.O,,11,,4,49,,22,13,60,,3,25,
,L4338,Apr-26,Pipli Majra B.O,Bhudkalan S.O,,,,3,,2,,,,,,
,A7323,Apr-26,Pipliwala B.O,Sadhaura S.O,,,,62,,1,,20,,,,
,13400308,Apr-26,Preet Nagar S.O (Ambala),,5,,,1,,4,2,12,,,2,
,13400309,Apr-26,Prem Nagar S.O (Ambala),,9,1,1,37,,8,15,105,,1,41,
,13300109,Apr-26,Punjabi Mohalla S.O,,4,2,2,1,,4,6,18,,1,6,
,13513301,Apr-26,Radaur S.O,,2,2,9,64,,39,7,60,,6,15,
,B4769,Apr-26,Railly B.O,Panchkula Sector 8 S.O,,,1,3,,1,,,,,,
,13400310,Apr-26,Railway Road Ambala City S.O,,7,,3,40,,17,7,83,,2,14,
,13420401,Apr-26,Raipur Rani S.O,,5,1,12,44,,26,4,41,,8,5,
,I5071,Apr-26,Raiwali B.O,Barwala S.O (Panchkula),,,3,4,,5,,3,,,,
,I1909,Apr-26,Rajo Kheri B.O,Barara S.O,,,2,3,,9,,7,,,,
,I1910,Apr-26,Rajouli B.O,Barara S.O,,,2,,,5,,4,,,,
,13500105,Apr-26,Ram Pura Olony S.O,,12,1,4,37,,8,6,111,,28,15,
,I5072,Apr-26,Ramgarh B.O,Barwala S.O (Panchkula),,,4,5,,8,,4,,,,
,I3765,Apr-26,Rampur Khadar B.O,Buriya S.O,,,2,3,,3,,2,,,,
,F7643,Apr-26,Rasulpur B.O,Sadhaura S.O,,,1,,,2,,5,,,,
,I5073,Apr-26,Rattewali B.O,Barwala S.O (Panchkula),,,3,1,,,,4,,,,
,I3766,Apr-26,Sabapur B.O,Buriya S.O,,,1,5,,4,,1,,,,
,13300110,Apr-26,Sadar Bazar S.O (Ambala),,26,2,14,65,,37,25,217,,11,60,
,13320401,Apr-26,Sadhaura S.O,,8,1,14,41,0,21,1,68,,2,4,
,B5747,Apr-26,Safilpur B.O,Sadhaura S.O,,,2,3,,2,,2,,,,
,13310401,Apr-26,Saha S.O,,,,5,14,,16,1,40,,1,4,
,E9254,Apr-26,Sahela B.O,Sarawan S.O,,,,,,2,,2,,,,
,C4202,Apr-26,Salehpur B.O,Sadhaura S.O,,,,6,,,,,,,,
,J7332,Apr-26,Salimpur Banger B.O,Chhachrauli S.O,,,,2,,1,,7,,,,
,L4931,Apr-26,Saran B.O,Dhin S.O,,,3,1,,5,,12,,,,
,13310301,Apr-26,Saraswati Nagar S.O,,15,1,17,60,0,42,7,77,,7,5,
,13320601,Apr-26,Sarawan S.O,,1,3,4,16,,18,1,24,,1,,
,E0832,Apr-26,Sardaheri B.O,Sarawan S.O,,,,2,,7,,6,,,,
,D2684,Apr-26,Sarsehri B.O,Babyal S.O,,,4,,,3,,,,,,
,M6340,Apr-26,SAUNTA,Durga Nagar S.O,,,2,1,,1,,3,,,,
,13411302,Apr-26,Sector 15 Panchkula S.O,,37,,19,130,,44,17,117,,16,56,
,13411701,Apr-26,Sector 20 Panchkula S.O,,6,1,4,23,,12,12,27,,2,21,
,13411601,Apr-26,Sector 26 Panchkula S.O,,2,1,7,10,,7,10,8,,,2,
,M6341,Apr-26,SEGTI,Durga Nagar S.O,,,,2,,2,,1,,,,
,I1899,Apr-26,Sewan Majra B.O,Adhoya S.O,,,,2,,3,,7,,,,
,L7573,Apr-26,Shadi Pur B.O,Thermal Colony Yamuna Nagar S.O,,,,,,1,,,,,,
,F8449,Apr-26,Shah Pur B.O,Kuldeep Nagar S.O,,,2,2,,11,,10,,,,
,G6217,Apr-26,Shahpur Nurd B.O,Sarawan S.O,,,3,2,,6,,,,,,
,13420201,Apr-26,Shahzadpur S.O.,,2,,7,70,,31,4,47,,2,13,
,D2489,Apr-26,Sherpur Sulkhani B.O,Sarawan S.O,,,1,,,1,,3,,,,
,I4690,Apr-26,Silikalan B.O,Radaur S.O,,,1,2,,1,,7,,,,
,E1837,Apr-26,Sohana B.O,Mullana S.O,,,5,,,7,,2,,,,
,I1911,Apr-26,Sohata B.O,Barara S.O,,,1,,,3,,8,,,,
,13400311,Apr-26,Subzi  Mandi S.O,,11,,4,35,,15,1,72,,4,23,
,G5269,Apr-26,Suketri B.O,Panchkula Sector 8 S.O,,,1,3,,1,,,,,,
,J7333,Apr-26,Taharpurkalan B.O,Chhachrauli S.O,,,2,,,2,,,,,,
,L4339,Apr-26,Tajewala B.O,Bhudkalan S.O,,,5,1,,5,,4,,,,
,L4401,Apr-26,Talakaur B.O,Saraswati Nagar S.O,,,3,4,,9,,12,,,,
,I1912,Apr-26,Tandwal B.O,Barara S.O,,,1,,,4,,6,,,,
,L4370,Apr-26,Tepla B.O,Saha S.O,,,,2,,1,,,,,,
,E1838,Apr-26,Thakar Pura B.O,Mullana S.O,,,,10,,5,,,,,,
,C5003,Apr-26,Tharwa B.O,Majri S.O,,,,1,,,,3,,,,
,13500401,Apr-26,Thermal Colony Yamuna Nagar S.O,,,,5,0,,4,,1,,,,
,I1900,Apr-26,Thumber B.O,Adhoya S.O,,,,,,,,2,,,,
,L3888,Apr-26,Tikkar B.O,Morni S.O,,,1,3,,,,,,,,
,M0023,Apr-26,Toda B.O,Jatwar S.O,,,,3,1,2,,4,,,,
,13300111,Apr-26,Top Khana Bazar S.O,,10,,5,31,,18,3,49,,2,1,
,I4691,Apr-26,Topra Kalan B.O,Radaur S.O,,,1,1,,2,,2,,,,
,M6342,Apr-26,UDAIPUR,Durga Nagar S.O,,,1,1,,3,,4,,,,
,D1365,Apr-26,Udhamgarh B.O,Jagadhri S.O,,,,4,,2,,5,,,,
,I1901,Apr-26,Ugala B.O,Adhoya S.O,,,1,3,,4,,2,,,,
,L4402,Apr-26,Uncha Chandna B.O,Saraswati Nagar S.O,,,,,,4,,2,,,,
,13500100,Apr-26,Yamunanagar H.O,,64,9,51,221,,119,55,429,,44,124,
,A7316,Apr-26,Zaffarpur B.O,Sarawan S.O,,,,1,,1,,1,,,,
,12730701,Apr-26,Achina SO,,2,1,2,1,,3,,28,,1,1,
,J3462,Apr-26,Ajitpura BO,Manheru SO,,,1,1,,,,1,,,,
